age,healthy_eating,active_lifestyle,Gender,salary
36,5,5,1,2297
55,3,5,1,1134
61,8,1,1,4969
29,3,6,1,902
34,6,2,1,3574
42,5,3,0,2761
53,4,6,0,1484
41,8,6,1,3809
47,5,6,1,2065
31,4,8,0,1020
47,6,9,0,1950
40,7,1,1,4387
41,3,2,0,1830
46,6,8,0,2182
51,7,5,1,3460
57,3,8,0,662
33,3,5,1,1134
41,4,8,0,1020
46,2,6,0,779
32,7,6,1,3228
57,7,6,1,3228
26,1,6,1,1360
59,7,5,0,3460
55,6,4,0,3110
51,5,8,0,1601
63,6,7,0,2414
62,9,6,1,4390
37,3,5,0,1134
63,6,7,0,2414
20,8,6,1,3809
63,4,7,1,1252
54,7,8,1,2764
58,3,8,1,662
18,4,6,0,1484
29,5,7,1,1833
61,2,4,1,785
51,5,5,1,2297
22,3,5,0,1134
36,3,7,0,670
62,2,6,0,779
54,6,8,0,2182
55,5,3,0,2761
55,6,7,0,2414
42,4,10,0,556
41,6,6,0,2646
43,5,8,0,1601
24,4,3,1,2179
44,4,6,0,1484
42,5,6,0,2065
54,6,9,1,1950
34,3,6,1,902
32,5,8,1,1601
28,7,2,0,4155
18,2,4,1,785
64,3,7,1,670
44,6,5,1,2878
56,5,5,0,2297
54,6,1,1,3806
23,9,6,1,4390
42,8,3,1,4505
64,7,10,1,2300
57,3,5,0,1134
20,5,5,0,2297
37,5,3,1,2761
45,7,4,1,3691
45,6,6,0,2646
27,3,4,0,1366
43,6,3,0,3342
20,5,7,0,1833
28,8,5,1,4041
60,3,2,1,1830
34,4,4,0,1948
21,5,1,1,3225
50,5,7,0,1833
31,6,7,0,2414
26,8,6,1,3809
59,4,5,1,1716
21,7,7,1,2996
61,6,8,1,2182
47,6,8,0,2182
30,3,2,1,1830
19,5,2,0,2993
56,6,6,1,2646
49,9,6,1,4390
39,3,4,1,1366
64,7,6,1,3228
53,6,5,1,2878
28,6,6,0,2646
62,5,7,1,1833
57,3,7,1,670
55,1,9,0,2056
25,4,6,0,1484
31,8,1,0,4969
34,7,6,0,3228
47,5,8,1,1601
40,3,3,0,1598
32,8,1,1,4969
32,6,6,1,2646
56,6,8,0,2182
19,4,6,0,1484
45,4,6,0,1484
60,5,7,0,1833
37,4,6,0,1484
36,3,8,0,662
59,6,7,1,2414
48,9,5,0,4622
56,6,5,1,2878
52,6,9,0,1950
25,6,5,0,2878
51,3,5,1,1134
30,4,7,1,1252
46,5,5,0,2297
45,6,8,1,2182
44,3,3,0,1598
49,7,6,0,3228
50,2,7,1,1011
26,5,3,1,2761
30,3,6,0,902
21,4,8,0,1020
48,8,9,0,3113
37,6,5,0,2878
28,7,6,0,3228
29,5,1,0,3225
28,5,4,1,2529
64,3,9,1,894
44,4,8,1,1020
63,3,7,1,670
37,9,7,0,4158
18,3,3,1,1598
60,6,5,0,2878
22,6,8,0,2182
62,6,7,1,2414
58,1,5,1,1128
41,0,8,0,2406
19,6,5,1,2878
21,2,3,0,1017
43,5,4,1,2529
53,4,10,0,556
43,2,9,0,1475
32,6,8,1,2182
43,4,2,1,2411
26,7,7,1,2996
38,6,5,0,2878
62,1,2,1,667
33,4,5,0,1716
29,6,4,1,3110
46,7,4,1,3691
39,6,3,0,3342
44,5,6,0,2065
41,6,6,0,2646
49,5,4,1,2529
58,1,6,0,1360
55,7,3,0,3923
54,6,5,0,2878
51,4,7,0,1252
34,6,9,0,1950
19,5,6,1,2065
51,7,5,0,3460
44,6,9,1,1950
30,7,6,1,3228
32,4,5,0,1716
52,2,6,1,779
33,7,6,1,3228
25,7,6,1,3228
36,3,9,1,894
27,7,3,0,3923
59,6,8,0,2182
38,3,8,1,662
54,8,5,1,4041
58,5,5,1,2297
63,5,2,1,2993
50,3,6,1,902
32,2,6,1,779
58,9,5,1,4622
21,3,6,0,902
39,3,6,1,902
21,6,6,1,2646
31,2,9,0,1475
44,3,6,1,902
49,7,9,0,2532
35,3,6,0,902
30,7,8,0,2764
49,8,5,1,4041
61,4,7,0,1252
